state,name,county,exp_in_zone
CO,San Juan,111,6.58
UT,San Juan,037,6.58
NM,San Juan,045,6.58
CO,Las Animas,071,6.45
CO,Grand,049,6.41
UT,Grand,019,6.41
CA,Modoc,049,6.41
NM,Socorro,053,6.26
CA,Yolo,113,6.24
ID,Bonner,017,6.18
OR,Morrow,049,6.14
UT,Cache,005,6.09
MT,Sanders,089,5.88
ID,Power,077,5.78
UT,Kane,025,5.78
OR,Malheur,045,5.73
WA,Skamania,059,5.55
ID,Bonneville,019,5.52
MT,Rosebud,087,5.47
NM,Doña Ana,013,5.33
MT,Big Horn,003,5.28
ID,Jerome,053,5.13
CA,Inyo,027,4.94
CO,Arapahoe,005,4.91
ID,Lewis,061,4.86
WA,Lewis,041,4.86
CO,Elbert,039,4.57
NM,Torrance,057,4.41
NM,Eddy,015,4.35
CO,Routt,107,4.22
AZ,Greenlee,011,4.09
WA,Asotin,003,3.99
NM,Los Alamos,028,3.96
CA,Kings,031,3.96
CO,Huerfano,055,3.87
ID,Caribou,029,3.77
UT,Millard,027,3.68
ID,Cassia,031,3.65
OR,Gilliam,021,3.59
UT,Duchesne,013,3.54
ID,Bingham,011,3.54
MT,Glacier,035,3.51
CA,Colusa,011,3.36
NM,Luna,029,3.32
ID,Boundary,021,3.15
ID,Latah,057,3.15
MT,Musselshell,065,3.09
ID,Camas,025,3.03
MT,Stillwater,095,2.9
OR,Sherman,055,2.88
OR,Wheeler,069,2.74
NM,Hidalgo,023,2.74
CO,Eagle,037,2.69
MT,Cascade,013,2.6
WA,Pend Oreille,051,2.56
CO,Ouray,091,2.52
ID,Kootenai,055,2.52
CO,Moffat,081,2.5
NM,Guadalupe,019,2.47
UT,Beaver,001,2.4
UT,Rich,033,2.38
UT,Sevier,041,2.36
UT,Uintah,047,2.34
CO,Delta,029,2.33
WA,King,033,2.33
NM,Quay,037,2.21
CO,Rio Blanco,103,2.05
WA,Walla Walla,071,2.01
CO,Chaffee,015,2
NM,McKinley,031,1.98
OR,Lane,039,1.96
ID,Oneida,071,1.91
CO,Broomfield,014,1.91
OR,Multnomah,051,1.9
CO,Montrose,085,1.69
ID,Bear Lake,007,1.65
MT,Beaverhead,001,1.64
MT,Deer Lodge,023,1.58
NV,Churchill,001,1.55
NM,De Baca,011,1.53
NV,Nye,023,1.52
MT,Broadwater,007,1.51
MT,Silver Bow,093,1.51
CO,Costilla,023,1.44
AZ,La Paz,012,1.43
CO,Gunnison,051,1.42
MT,Powder River,075,1.36
MT,Sweet Grass,097,1.27
NV,White Pine,033,1.2
CO,Yuma,125,1.19
AZ,Yuma,027,1.19
NM,Cibola,006,1.18
ID,Shoshone,079,1.15
OR,Linn,043,1.12
CO,Pitkin,097,1.11
CA,San Francisco,075,1.1
CO,Saguache,109,1.1
CO,Dolores,033,1.06
WA,Pierce,053,1.04
OR,Columbia,009,1
WA,Columbia,013,1
WA,Whitman,075,0.99
OR,Coos,011,0.92
CO,Hinsdale,053,0.89
CO,Baca,009,0.88
UT,Daggett,009,0.87
MT,Carter,011,0.85
WA,Snohomish,061,0.84
MT,Hill,041,0.77
CO,Denver,031,0.76
MT,Phillips,071,0.72
CO,Phillips,095,0.72
MT,Pondera,073,0.63
CO,Bent,011,0.63
UT,Piute,031,0.63
UT,Emery,015,0.61
CO,Rio Grande,105,0.57
CA,Imperial,025,0.55
ID,Benewah,009,0.48
CO,Prowers,099,0.48
OR,Marion,047,0.44
WA,Skagit,057,0.44
MT,Fergus,027,0.4
UT,Wayne,055,0.39
WA,Mason,045,0.38
MT,Dawson,021,0.37
MT,Petroleum,069,0.37
WA,Kitsap,035,0.36
ID,Minidoka,067,0.33
CO,Crowley,025,0.32
WA,Clallam,009,0.29
WA,Thurston,067,0.29
CO,Conejos,021,0.28
MT,Meagher,059,0.26
MT,Judith Basin,045,0.26
NM,Harding,021,0.25
MT,Chouteau,015,0.25
MT,Fallon,025,0.21
CO,Logan,075,0.19
CO,Kiowa,061,0.18
MT,Golden Valley,037,0.17
WA,Whatcom,073,0.17
MT,McCone,055,0.15
MT,Richland,083,0.15
MT,Sheridan,091,0.14
MT,Toole,101,0.12
WA,Grays Harbor,027,0.12
CO,Alamosa,003,0.11
MT,Wibaux,109,0.08
OR,Yamhill,071,0.08
MT,Wheatland,107,0.07
WA,Island,029,0.07
WA,Cowlitz,015,0.07
CO,Cheyenne,017,0.06
OR,Polk,053,0.05
MT,Treasure,103,0.04
MT,Daniels,019,0.04
NV,Esmeralda,009,0.03
MT,Prairie,079,0.03
CO,Sedgwick,115,0.03
CO,Kit Carson,063,0.02
OR,Tillamook,057,0.02
MT,Liberty,051,0.01
WA,Pacific,049,0
OR,Clatsop,007,0
WA,Wahkiakum,069,0
